Handle,Channel Name,Join Date,Description,Thumbnail URL,Subscriber Count,View Count,Video Count
@marliestv,Toronto Marlies,2010-02-01,This is the Official Youtube Channel of the AHL's Toronto Marlies.,https://yt3.ggpht.com/yLsY2SdlMOgmR80ACVDI5cjwVcgT1r5n4Yr0EanLHIfbBXUm-ogxvkz9aqMWuznHO0Vkk00OYg=s176-c-k-c0x00ffffff-no-rj,11900,8755457,6495
@mavericks,Dallas Mavericks,2006-05-26,Official Youtube Channel of the NBA's Dallas Mavericks. Please subscribe!,https://yt3.ggpht.com/Xh2AZcUEi7DunHL4rW6zK0SH4bOuQeR3Gnjw03iqxpDRxNL7-WzzadurYo0x6oB_5taJgz2MNQ=s176-c-k-c0x00ffffff-no-rj,216000,80101307,4887
@memphisgrizzlies,Memphis Grizzlies,2007-08-07,"The official YouTube channel of the NBA's Memphis Grizzlies. For more team news, notes and in-depth analysis, visit Grizzlies.com.",https://yt3.ggpht.com/Y-BwOIuWwagUXq0s5yHvS4Q37G5JylMAMO2pwBYOt5hY2AniHI1TK-nz6YnqpG2BekYNwdk7Dw=s176-c-k-c0x00ffffff-no-rj,112000,32701413,4203
@miamiheat,Miami HEAT,2005-12-15,"🏆🏆🏆 #HEATNation #HEATCulture
",https://yt3.ggpht.com/Mx2fUMo0ekmFyZKH3TBnGiSkOnPqVFqBOrcd-7qq70uZUGmnwG6NaMOzpTH97y_Q-Mmg8gg_Dw=s176-c-k-c0x00ffffff-no-rj,198000,28526268,1919
@mlsefoundation,MLSE Foundation,2010-11-02,"We believe all kids should have access to sport and the opportunity to dream big.

Changing lives through the spirit and the power of sports. With the support of the Toronto Maple Leafs, Toronto Raptors, Toronto FC and Toronto Marlies - the MLSE Foundation funds the refurbishment of local athletic facilities and programs that support kids through sports and recreation.",https://yt3.ggpht.com/ytc/AIdro_m0WP-aXe360dNyW0FWm5NV3mGQC2PdKs50YJApl0JJ8lQ=s176-c-k-c0x00ffffff-no-rj,426,529311,241
@mlselaunchpad7987,MLSE LaunchPad,2017-01-31,,https://yt3.ggpht.com/ytc/AIdro_mT7W1JYQt64l7DqgFcjC7mXsSqd9NiZqowTpVx17On3Jw=s176-c-k-c0x00ffffff-no-rj,121,31883,85
@mlsesportdevelopment,MLSE Sport Development,2017-06-16,"A place where you can find official sport development videos and shorts from the Raptors, Leafs, TFC and Argos.",https://yt3.ggpht.com/ytc/AIdro_kViJ-x7bpE70aQXBS-FltYMVMk8BNfTYHyvPSXdtFbe4w=s176-c-k-c0x00ffffff-no-rj,512,160815,274
@nbapelicans,New Orleans Pelicans,2008-10-10,The Official YouTube Channel of the New Orleans Pelicans.,https://yt3.ggpht.com/SJQ9f34bXVPl_aTACAj2ao_77Rt249icbLyBkCxWJpX4mkALFspd-TCELcwioe5PJXjjS5HL0w=s176-c-k-c0x00ffffff-no-rj,167000,32886062,7614
@nbatvcanada,NBA TV Canada,2010-08-30,"NBA TV Canada offers Live and Exclusive Raptors, NBA, WNBA and NBDL games. Exclusive pre and post-game shows for all Raptors games. Contact your local television service provider today to find out how you can subscribe to NBA TV Canada.",https://yt3.ggpht.com/ytc/AIdro_k3b0i3h2U5Rb9uk4Fet3rF8yVcoJROnjNhnpxAAW1ZDKM=s176-c-k-c0x00ffffff-no-rj,5640,1567969,845
@nyknicks,New York Knicks,2006-03-15,The official channel of the New York Knicks.,https://yt3.ggpht.com/oCKHWISsLn4gNmAxvWxqARMafueIQtbPRPdZoRz2JA9QWuo_OZLVXcVq_LNVjD8CoBnF61KYfQ=s176-c-k-c0x00ffffff-no-rj,151000,52385622,5205
@officialrockets,Houston Rockets,2012-07-02,"Official YouTube page of the Houston Rockets.

For full coverage of the team, visit Rockets.com",https://yt3.ggpht.com/_WgjR7FjI6qfstlWylNZ2_YIS6jWXiTTYGeqOTnkBfuo4rZvngGjSqSzdZBq9Tmhau-Ru0d7=s176-c-k-c0x00ffffff-no-rj,159000,47652651,3639
@okcthunder,Oklahoma City Thunder,2007-04-13,"Official YouTube Channel of the Oklahoma City Thunder

Twitter: @okcthunder | facebook.com/okcthunder | Instagram: @okcthunder | okcthunder.com",https://yt3.ggpht.com/OpR79GI_zEEY5dv3-Qij8rUnF6ObDsbymGm9HY9r9KwPXmzk2_8ykOe8oMlFfqetD08azKIx=s176-c-k-c0x00ffffff-no-rj,208000,47795290,6057
@orlandomagic,Orlando Magic,2007-02-07,The Official YouTube page of the NBA's Orlando Magic.,https://yt3.ggpht.com/0iGHHId51psYzdGWw3D0A1jGSaqXi5iP4PiYN4Pj1-fFxIgkf5o2BlYlCi9Lm25WqczB9yQg=s176-c-k-c0x00ffffff-no-rj,852000,92305565,5307
@pacers,Indiana Pacers,2008-01-29,,https://yt3.ggpht.com/skGsQjnIxGcnwvjecei8WPzbv1toYdtgw-xvuNHee1mUJZt5neQHkzSlkqzy9hKq7486sXt9CQ=s176-c-k-c0x00ffffff-no-rj,116000,85743763,8559
@pistonstv,Detroit Pistons,2008-10-10,"The official YouTube channel of the 3x NBA Champion Detroit Pistons. Subscribe to follow along as we go on the court, behind the scenes, in the community, and more. Pistons TV is your hub for everything Pistons.

#Pistons #DetroitBasketball #WhatUpDoe 
",https://yt3.ggpht.com/wNcX0EJ0KHmiYJxecahDwskk5xqw3jFld4vCD-E8OLdxHjyR6MfZ8XRXoBg2s0A1sHR6nVQ5sRM=s176-c-k-c0x00ffffff-no-rj,93500,20435999,3122
@raptors905,Raptors 905,2015-06-08,"The official YouTube channel for Raptors 905, NBA Development League affiliate of the Toronto Raptors.",https://yt3.ggpht.com/ytc/AIdro_kDwxxHL88YNf-wuhWNGJko99NFuNv6PbBjhxH14cAu7H8=s176-c-k-c0x00ffffff-no-rj,3360,582625,1384
@raptorsuprisinggc,Raptors Uprising GC,2017-12-07,"This is the Official Toronto Raptors Uprising GC Youtube Channel. Reach out to us anytime, we're @RaptorsGC on Twitter. Thanks for being a fan.",https://yt3.ggpht.com/ytc/AIdro_nOvTSBodWvkUciDX9YM78T_PocBCST72ci1LZJaJPer00=s176-c-k-c0x00ffffff-no-rj,15300,9004553,593
@realsportsmlsq,Real Sports,2010-06-14,,https://yt3.ggpht.com/ytc/AIdro_mll9AKK1QojrBLK8c8NulD0GhZPo3qHAmCDBUnyOMAkg=s176-c-k-c0x00ffffff-no-rj,509,381499,388
@sacramentokings,Sacramento Kings,2006-11-28,The official YouTube channel of the #BeamTeam,https://yt3.ggpht.com/PtRTmxlcY3QcnmVURJEex2EeNQo7T799roJRsankX4zpSiGOX9b4GF1Yg1xwObV35Q8XqtIhhw=s176-c-k-c0x00ffffff-no-rj,320000,47068156,3165
@scotiabankarena,Scotiabank Arena,2018-07-30,"
",https://yt3.ggpht.com/k4njlEkZAW3pgUlfarsou4NvtT90IifcdtvTGbpqWAkOUbPLClqEtciKcGo_02JRDaP0TEBtvg=s176-c-k-c0x00ffffff-no-rj,1690,441184,85
@sixers,Philadelphia 76ers,2006-06-12,"The official YouTube channel for your 3-time NBA Champion Philadelphia 76ers. Subscribe for game recaps, highlights, interviews, exclusive behind-the-scenes player content, vintage Sixers videos, and more. Subscribe to our channel to receive updates when new videos become available.

For more information on the team, visit www.nba.com/sixers/, or on Twitter and Instagram @sixers.

For season ticket information, please call (215) 339-7676; email tickets[@]76ers[.]com; or visit society76.com.
",https://yt3.ggpht.com/Tub3FyDyEvwIrl-hnzv4_5OZSwEvWsgoMvfOrIzqF3GfJ7L3MfpsY91iPmwjtXvwXJIbKarTbw=s176-c-k-c0x00ffffff-no-rj,86000,21299253,5143
@spurs,San Antonio Spurs,2008-02-08,"Welcome to the Official YouTube Channel of the San Antonio Spurs featuring behind-the-scenes footage, special video features, and a lot more!

",https://yt3.ggpht.com/dc6Tx4eGfjTkg8tpgEfNbfHwGU0FZFIKrBAmJ__0OFp15mr55gEIszxlM9IYcrfWg1zTDR69WRE=s176-c-k-c0x00ffffff-no-rj,171000,102236093,6622
@suns,Phoenix Suns,2007-01-02,"
#SunsUp 

Subscribe to get all the latest Phoenix Suns Content: https://www.youtube.com/channel/UCLxlWVVHz2a8SdCfxzVXzQw

Connect with the Phoenix Suns online and on Social:
 🔵  Facebook: https://www.facebook.com/suns/
 🔵  Twitter: https://twitter.com/Suns
 🟣  Instagram: https://www.instagram.com/suns/
 💻  Website: https://www.nba.com/suns/?tmd=1
 🟢  TikTok: @phoenixsuns
 🟡  SnapChat: phoenix suns

🎟️  PayPal Sixthman Season Ticket Memberships https://www.nba.com/suns/tickets/sixthman/membership
",https://yt3.ggpht.com/KB1JeVDVlJRdq1hdmoJqMQBu0Ro1GlywJrlqMsLvPyUnmLXjRDQeI85cJ2_Y3SUlGOOZfQXN0D0=s176-c-k-c0x00ffffff-no-rj,135000,51469870,6811
@timberwolves,Minnesota Timberwolves,2007-10-20,"The official YouTube channel of:

THE MINNESOTA TIMBERWOLVES

Subscribe to our channel for updates",https://yt3.ggpht.com/4ReWtBBkZOPQK2RnHZK7sBfHSScdBMyZTgDB0wS6Ilor0a8hNoQOpV-KdkY5InDGfGbyaBtp1zA=s176-c-k-c0x00ffffff-no-rj,141000,55537630,5668
@torontoargonauts,Toronto Argonauts,2007-01-28,"Welcome to the Official YouTube Channel of the 19 x Grey Cup Champions, Toronto Argonauts Football Club. Est. 1873",https://yt3.ggpht.com/X8WPUD5y-8LpBW7xQSWLMdBKiYUqBxctbgDBQ8yDghTTHXXSazUmONGf3Q972VwPKSBc0hstLKg=s176-c-k-c0x00ffffff-no-rj,26300,37436485,1161
@torontofc,Toronto FC,2006-05-14,"Major League Soccer's First Canadian Club 🍁

🇨🇦 8x Voyageurs Cup Champions
🛡 2017 Supporters' Shield Champions
🏆 2017 MLS Cup Champions
",https://yt3.ggpht.com/5-gj6ihKtbJQBLUME25WKcUIIO_VA_HVus4hxJhESRZIqITiaOXN9qyfgyAv337_XJLfqCYflg=s176-c-k-c0x00ffffff-no-rj,40500,26282247,5105
@torontomapleleafs,Toronto Maple Leafs,2006-05-05,The official YouTube channel of the Toronto Maple Leafs.,https://yt3.ggpht.com/EnLxeVQdpEWA995nVCD81_QsMbkolukIg5m24XqpliYWvMH_x5u9qOEZU2Aho6wTVK0jQ2SG=s176-c-k-c0x00ffffff-no-rj,165000,110409726,13679
@torontoraptors,Toronto Raptors,2006-03-23,"The official YouTube channel of the Toronto Raptors. Follow us for the latest game highlights, interviews, exclusive team content, and more!

#WeTheNorth
",https://yt3.ggpht.com/D6YeLXRlcjQOdB3RCpYgIUiJYtppESoICwOmIGNLn2AMLZJ90kOitKt2q1vcYxONR5z-_jDNa6M=s176-c-k-c0x00ffffff-no-rj,173000,102343073,11420
@trailblazers,Portland Trail Blazers,2007-02-28,"The official YouTube channel for the NBA's Portland Trail Blazers. Subscribe for game recaps, highlights, interviews, behind-the-scenes player content, vintage Rip City videos, and more.",https://yt3.ggpht.com/6YS3SBkjvRKN60C-sNWn7FuKDKIdIyA-U9E8o8-InoL_VWFk4qjmxcw2hQqkfwp2qTyD9QKC=s176-c-k-c0x00ffffff-no-rj,134000,68530964,10449
@utahjazz,Utah Jazz,2008-06-18,"Welcome to the Utah Jazz YouTube channel! Posting highlights, interviews & behind-the-scenes looks at the team in the 801 🫡",https://yt3.ggpht.com/Md6VRsRSsdQt2MCGx89QPA6s8FyhmKWg35GnR4d3x0DEzaQot1g37Uk6njJDqTBmAlAjBya07g=s176-c-k-c0x00ffffff-no-rj,260000,43164182,3570
@warriors,Golden State Warriors,2007-04-28,"Official YouTube page of the Golden State Warriors. 

For full coverage of the team, visit www.warriors.com.",https://yt3.ggpht.com/el-J8sRexslLpkv4OKl8bx3F8H0IxVaAnBITPZUTVZa_tqvng4GuZ2DN9Q4NyUxQH5nNOEDC0Q=s176-c-k-c0x00ffffff-no-rj,2290000,846039422,8284
@washingtonwizards,Washington Wizards,2014-04-08,"The official YouTube channel of the Washington Wizards. Get exclusive access to the team — from behind-the-scenes footage, player features, mic’d-up moments, and game highlights.
",https://yt3.ggpht.com/ytc/AIdro_mVZzBq8u9hfYPhbxym2TuB5IYrrxcSZ4QzfRuEljWM540=s176-c-k-c0x00ffffff-no-rj,70800,29908985,3756
