Video Id,Title,Transcript
rzkrJ7T-HSA,The Steak Review: Cracker Barrel,this is the steak review and we're here at cracker barrel sirloin medium rare the first thing i noticed was that it was extremely thin but the crust wasn't terrible let's slice into it cooked closer to medium but not a bad internal temp for a steak that thin pretty good flavor and it was seasoned well but there was a lot of chewing i could barely get that down went for the mashed potatoes honestly the sides are nothing special and as usual tried one piece with ketchup that's not good definitely not the best steak i've ever had but i came in here with pretty low expectations and it's not terrible so with that a final score 51 out of a hundred
GZx2n_sOGj8,Should steaks be left at room temp before cooking?,should steaks actually be left at room temp before cooking one half of the strip is being left in the fridge the other left at room temp for one hour after 60 minutes it's only increased by 15 degrees same seasonings evenly heated pan and sear flipping the same amount of times pulling each at 116 internal interestingly the crusts were identical they finished cooking within 30 seconds of each other and slicing into them they actually look the same similar color and gray band leaving stakes out isn't worth the time instead try dry browning for significantly better results [music]
5aAdnro2mx8,Do 15lb lobsters taste bad? ft. @NickDiGiovanni,what tastes better a small lobster a big lobster or red lobster i've always heard big lobsters taste bad so let's find out luckily nick had a 13 pounder in his trunk it's w time to cook to a pot we added the big lobster a small lobster and in the meantime i ordered one more lobster from the restaurant 45 minutes later we had all three lobsters ready to go we started by tasting the small lobsters they were both equally tender and juicy next the big one getting it open definitely was n easy but unfortunately the rumors were true it was more chewy and less sweet and yeah not worth it
1LcH86evTyI,How to grill a porterhouse,this is how i like to grill a porterhouse steak oil binder salt pepper garlic powder and get it on the grill flip frequently for even cooking the fillet will naturally cook faster due to its size so focus the heat on the larger strip finish by basting with herb butter for a quick final sear notice how the crust is focused on that strip side which has allowed us relatively even cooking on both muscles while sous-vide is a more fool-proof method
dU_dDHh_LMY,The doctor said I need to eat more fish…,the doctor said i need to eat more fish so let's do it this is the best smoked salmon i've ever made season the salmon and get it on the grill packed with omega-3s and nutrients i'd consider going pescetarian after this one
MY9l1G6aT_I,The time I got stood up on a date 💔,i'm going to tell you about the time i got stood up on a date a few years ago there was a food fair at a local brewery in shanghai and i was helping my friends sell sausages a girl walked in wearing a red dress and i distinctly remember she had airpods on and was sort of dancing around she lit up the whole room she started pulling out wheels of cheese and turns out she was a gourmet cheese dealer needless to say i was very interested i was cooking sausages she was selling cheese and throughout the fair i went over to her booth probably 20 times to try the cheese aka find time to talk to her we got along well and ended up going on a few dates one day i offered to cook for her prime grade porter house which is impossible to find in china mashed potatoes salad wine dessert and even candles the food was ready the minutes ticked by but after an hour she texted me saying she couldn't make it granted i don't think she realized i went all out with the cooking but still oof i called my roommates out of their rooms and though they made fun of me the entire time we enjoyed the food and had a good time things eventually fizzled out between us but i figured that today
6iPbI3HAUEo,A Big Brisket Sandwich,!X! SUBTITLES DISABLED !X!
0y2ntUU5n04,Car Cooking: Red Lobster @NickDiGiovanni,i got this beautiful lobster and we're here red lobster one lobster roll but hold the lobster sorry we don't have those okay just the biscuits please i got ready to boil the lobster when all of a sudden we had a visitor now i have no idea why nick had a 15-pound lobster in his trunk but i'm pretty sure it blew this guy's mind bad day to be a big lobster great day to be a small lobster and get your pot fired up things got emotional for nick while it cooked but after a 45-minute spa session it was ready remove the claws for a quick lobster shotgun and let nick finish the job with thor's hammer and we're left with massive chunks of tender lobster mayo chives lemon salt and pepper red lobsters first ever lobster roll car cooked to perfection
WEfbBm7qTUE,The sandwich from my nightmares,[music] you
NqHZXM3RB9Q,The day I fell in love,i'm going to tell you about the day i fell in love 8 years ago i was living in shanghai china my colleagues knew i was obsessed with grilling and surprised me by taking us to a steakhouse called char located on top of a hotel with stunning views overlooking the most vibrant part of the city the event was called a stake master class hosted by the head chef and it started with a powerpoint presentation now usually i hate powerpoints but this was different he started by explaining the differences between angus and wagu breeds marbling scores and all the different cuts on a cow it was the first and only presentation where i actively internalized everything that was said next came a tour of the dry aging room and after some begging they even let kyle and i cook a steak and i was hooked i went home and fell back into my old job and routine but that day a switch went off in my head i realized this could be more than a hobby within the layers was a lifetime of things to learn i knew that what i had experienced would be a big part of my life and it was only a matter of time before i made it happen
gAEAVA9Ippg,Steak Battles: Max vs Ken’s (cops called👮‍♂️),today we're going head-to-head with ken's steakhouse if they win their chef gets a hundred bucks rib eye medium rare thank you and set up shop i cook my steak while they cook theirs and a random person on the street is the final judge starting with theirs cooked to the perfect medium rare next was mine two pretty good looking steaks the pressure was on unfortunately i couldn't find a single potential taste tester and things were only about to get worse oh cops what how's it going we're filming a youtube video okay you can film me like steak reviews and someone call them i think they're selling free food out of their car and that's why as long as ken's is okay with you guys we're cool with you guys being here so okay all right all right avoided jail time then headed next door to walmart and found our guy so we're here with pablo mistake number one stick number two for me the first one's better come on really yeah
Ms7gIC6i_sA,Duck Fat Chip 🦆,this is a duck fat chip by removing the fat from our duck breast we can optimally cook both sides season the breast with salt and pepper five spice and orange zest we're smoking over applewood low and slow and get started on the chip score for better rendering season with salt and render on low heat with a weight on top what's left is completely rendered and crispy duck fat quick sear at 125 internal for the perfect rosy pink medium rare plate with a parsnip puree and a blood orange balsamic glaze the contrast from the tender duck and crispy fat is unlike anything that can be achieved on the grill or even a pan and the reason is that
czKXBBUezps,The Ultimate Smash Burger,[music] now that is a burger special sauce and we're using 100 grass-fed beef from butcher box butcher box offers convenient meat delivery with flexible boxes quality meat from animals that i know are treated right next up cheddar stuffed butcher box bacon wrapped onion rings keep it nice and tight and replace them with the burnt ends on the smoker we're smoking over applewood low and slow add your sauce sweet and tender bites of pork candy crispy onion rings season that tomato and assemble check out butcher box in the description right now they're not only giving away free ground beef for life but they also offer huge variety and incredible value on some of my favorite humanely raised products
k-kEgO4WkeE,Pork Belly Bread 🐷,today we're turning this pork belly into bread slice into six even strips pork windshield wipers and season all sides turn to youtube to learn how to do a six strand braid and get it on the grill we're smoking over applewood low and slow and assemble the glaze honey orange and of course our sweet and spicy sriracha candied bacon add the glaze at 155 internal and paint all sides and that right there is a certainly not kosher loaf of pork belly hollow bread smoky and juicy a simple bread on bread sandwich
gPGAIx2wC40,28 Day Salt Dry Age 🧂,this steak has been dry aged with salt and we're gonna cut into it salting a steak prior to cooking is usually limited to a couple days and honestly i had no idea if the end product would be edible after a month it's lost 20 percent of its weight and was hard as a rock but slicing into it i was shocked to find what looked like perfectly dry aged beef i added no seasonings sear butter herbs and baste part of me was expecting it to taste like beef jerky but it was deeply seasoned tender and surprisingly great
MshH6ajPKP4,Butter Injected Lobster 🦞,we're gonna inject this lobster with butter huge lobster with claws the same size as my sister's hand butter lemon and cajun injections the most humane way to do it inject the tail and completely fill both claws fully vaccinated with a whole stick of butter and steam bright orange tail from the cajun seasonings quick lobster shotgun and cut yourself multiple times trying to open those claws this method provides buttery and seasoned lobster the alternative via normal person and dip
YB3hofmgZLo,Homemade McFish,[music] that is the perfect sandwich cajun cream sauce pickles and lemon pepper seasoned mahi mahi quick beer batter dip fry until golden brown and extra crispy pepper jack pillow and a fresh mango avocado salsa sweet cherry tomatoes a squeeze of lime and can't forget homemade cajun waffle fries while i'm usually a fried chicken kind of guy this one really had me questioning
WpGrl1-GZMA,Chicken and Waffles x TikTok Cake #shorts,let's turn this tick tock cake into chicken and waffles first off thank you tik tok for the cake and i mean no disrespect with what i'm about to do with it chop into thin slices and dehydrate for 12 hours season your chicken buttermilk and pickle juice brine cake croutons blend into a fine powder to replace the sugar in the waffle mix waffle gender reveal and it's twins dredge the chicken and fry until golden brown that is crispy finish with a chili infused maple syrup honestly i didn't quite know how to feel about this one it tasted good but something definitely didn't feel right
JUFf5yrZDbA,How did I make money living in China? Ft. Every TikTok creator seasoning #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
rGoZfebxjVI,Tofu Ribs (for all my loyal vegan followers) #shorts,i don't want to know if you're playing me keep it on the low cuz my heart can't take it anymore and if you creeping
R6T3D6gu1GI,Has social media made me hate cooking? #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
bMC13z2GCqc,Best “it’s raw” comment wins (pt 2) #shorts,!X! SUBTITLES DISABLED !X!
5GaIEvusqbU,Steak Ice Cream #shorts,!X! SUBTITLES DISABLED !X!
gAj7I7nt_XA,Prime Rib Reuben #shorts,UNKNOWN ERROR
Hkg2e_9PjMI,What happens if you don’t rest your roast? #shorts,UNKNOWN ERROR
l9Yo0I3GSJ4,How to Prep & French a Prime Rib #shorts,UNKNOWN ERROR
ESBJgrUdykY,Holiday Prime Rib (Thicc crust) #shorts,UNKNOWN ERROR
5XC6GjfM7Os,I (kinda) got kicked out of Wendy’s parking lot #shorts,UNKNOWN ERROR
3_OArk8bZNU,CAR COOKING: Sleepover at Wendy's (Max vs Baconator) #shorts,UNKNOWN ERROR
F75zF9pjVUM,Dry Aged Striped Bass #shorts,UNKNOWN ERROR
fWH79nI3DFU,Car Cooking x Does it Deep Fry: McRib #shorts,UNKNOWN ERROR
kU_W_YIsFL4,The Tomahawk King (well done & rare) #shorts,!X! SUBTITLES DISABLED !X!
lZI4IT2EbIc,The Old Fashioned: Orange & Whisky Dry Age #shorts,UNKNOWN ERROR
AJ3Py2n_cUY,The Ultimate Seafood Tower #shorts,UNKNOWN ERROR
DWgJ57LV4RE,Does it Deep Fry: Whole Duck #shorts,UNKNOWN ERROR
y3I17q1I0UQ,Pulled Pork Cinnamon Rolls #shorts,UNKNOWN ERROR
blDev_gChA4,$1 vs $100 bite - what does an 8 yr old like more? #shorts,UNKNOWN ERROR
-2exRhKYqRk,Green Dry Aged Turkey #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
iuhIgUfRz0Y,Surf & Turf Sandwich #shorts,UNKNOWN ERROR
LJaj3E29N_4,The right way to carve a Turkey #shorts,UNKNOWN ERROR
KzWS_w6An1U,🍆 Wellington #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
WUGzlHBvm-E,Tomato Wellington 🍅 #shorts,!X! SUBTITLES DISABLED !X!
koNFDjyt6zw,The Perfect Thanksgiving Turkey #shorts,UNKNOWN ERROR
i-15DZuO3u0,100 Day Dry Age Wagyu Beef Shank #shorts,UNKNOWN ERROR
53gyRm319-c,The Turkey Wellington #shorts,UNKNOWN ERROR
5KLhlKMPKss,"Dry Aged Tuna Sushi ($4,000!!) #shorts",UNKNOWN ERROR
qc1aPTPIgvA,Bacon Wrapped Tomahawk #shorts,UNKNOWN ERROR
18lSwA77zcs,Sour patch kids dry age experiment (don't try this at home) #shorts,UNKNOWN ERROR
sZKQVbWVNYI,Eating Duck with Mark Zuckerberg #shorts,UNKNOWN ERROR
Mh_IOsM88Ik,The Ostrich Egg Exploded Before I Could Slice It 🥲 #shorts,!X! SUBTITLES DISABLED !X!
fGEDb2lUWI4,Should you really cut steaks AGAINST the grain? (Real fire pit) #shorts,UNKNOWN ERROR
SfkoDFjAZ8g,How I almost burned down my house #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
WXKp_11ehbQ,Pumpkin Spice Dry Aged Ribeye #shorts,!X! SUBTITLES DISABLED !X!
BjHLQzkMJtw,Does it Deep Fry: Ice #shorts,UNKNOWN ERROR
Cun-ny0N4dw,How I almost died buying my first smoker #shorts,UNKNOWN ERROR
9cBVeyhW_SE,I dropped this steak in real dirt #shorts,!X! SUBTITLES DISABLED !X!
jrqt8aIvKDo,Steak School: New York Strip (Strip Steak) #shorts,UNKNOWN ERROR
sNsfvfEi27Y,Chocolate & Coffee Dry Aged Ribeye #shorts,UNKNOWN ERROR
keAOhf4FFkQ,6 Steak Temps (Ketchup - Vampire) #shorts,UNKNOWN ERROR
Hywmhl2eQlQ,Does it Deep Fry: Pork Belly #shorts,UNKNOWN ERROR
6KrsRM5d_0s,The Steak Review: Longhorn #shorts,UNKNOWN ERROR
0AQ_eSNlH78,Turned 29 so cooked 🥩 #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
MDJjWi0Wzh8,Steak Battles: Max vs Longhorn Steakhouse #shorts,UNKNOWN ERROR
DvawYzNvGbk,Steak of the Sea #shorts,UNKNOWN ERROR
MRWYEzIF3wM,Spicy Toro Crispy Rice #shorts,UNKNOWN ERROR
H4lekFAtUZM,Grilled Lobster Roll x Truffle Fries #shorts,!X! SUBTITLES DISABLED !X!
gEQeKJsAFSk,Team Medium Rare or Well Done? #shorts,UNKNOWN ERROR
hSg7OFHr1zo,Did I overreact eating the eyeball? #shorts,UNKNOWN ERROR
_ndG_gpa3so,Pizza Wings #shorts,UNKNOWN ERROR
0Bngto6HLh0,Beefsteak 🍅 #shorts,!X! SUBTITLES DISABLED !X!
9FpA4sHH-BA,The best way to cook a tomato #shorts,UNKNOWN ERROR
fnXL_svhMoQ,Lamb & Peaches for Snoop Dogg #shorts,!X! SUBTITLES DISABLED !X!
UKKxynoBO_w,Steak Battles: Max vs. Texas Roadhouse #shorts,UNKNOWN ERROR
sigPLhr_zFk,Dry Aged Wagyu Burger #shorts,UNKNOWN ERROR
bv_mX6fbb38,Steak & Oysters #shorts,!X! SUBTITLES DISABLED !X!
KsQeQ1nJOP4,Next Level Rib Corndogs #shorts,UNKNOWN ERROR
EbxQnE0d5Lc,Best “it’s raw” comment wins #shorts,UNKNOWN ERROR
A3Tqm5k1IA4,Teriyaki WAGYU Burnt Ends #shorts,!X! SUBTITLES DISABLED !X!
kUXXjApmS-E,Butter Basted Steak Tutorial #shorts,!X! SUBTITLES DISABLED !X!
xPl9Qf7UGWM,Vegan sister makes tuna #shorts,!X! SUBTITLES DISABLED !X!
PWrP6XwudJM,Watermelon tuna #shorts,!X! NO TRANSCRIPT AVAIALABLE !X!
JU7q3vcEeM0,something's fishy #shorts,!X! SUBTITLES DISABLED !X!
4UwJhzIKbLw,Filet & Caprese #shorts,UNKNOWN ERROR
VtPsXzlzVNM,Black Truffle & Cognac Wagyu Ribeye #shorts,UNKNOWN ERROR
zQyaFzqnoJQ,Beef Bacon Steak #shorts,UNKNOWN ERROR
rBQFGw8li4c,How to make smoked watermelon taste good #shorts,!X! SUBTITLES DISABLED !X!
bG98sWNFymA,Never wrap with tinfoil... #shorts,!X! SUBTITLES DISABLED !X!
-Qp7n1It40c,Most Expensive Beef Jerky? #shorts,UNKNOWN ERROR
biZupXfvcYM,Prime Rib: Beef Bacon X Blue Cheese #shorts,UNKNOWN ERROR
l07-1bHwBp4,Beef Bacon Burnt Ends #shorts,UNKNOWN ERROR
